"age";"temp"
"74";1800;0.946952312213787
"130";3200;1.02086738904992
"190";4700;1.13174000430411
"290";7200;1.18006909300466
"320";7950;1.31652769639444
"370";9200;0.932737874360686
"408";10150;0.708149756281675
"450";11200;0.375531910519093
"472";11750;-0.647907614904243
"500";12450;-0.667807827898586
"506";12600;-0.403419283830891
"526";13100;-0.0878587634920294
"576";14350;0.418175224078398
"602";15000;-0.937882147107522
"646";16100;-0.923667709254419
"704";17550;-1.07149786292668
"752";18750;-0.971996797954966
"822";20500;-1.24775689230514
"984";24550;-1.31598619400003
"1068";26650;-1.02316877422613
"1292";32250;-1.00042567366117
"1526";38100;0.074185828033332
"1604";40050;-1.29892886857631
"1886";47100;0.207801543852489
"2110";52700;-0.32666131942414
"2256";56350;-0.158930952757539
"2510";62700;-1.5491029747909
"2726";68100;-1.14541293976281
"3102";77500;-1.32167196914127
"3474";86800;-0.363618857842206
"3516";87850;-0.932196371966281
"3762";94000;-0.264117792870492
"3986";99600;0.20211576871125
"4048";101150;0.261816407694276
"4136";103350;0.543262277185694
"4274";106800;0.111143366451398
"4468";111650;-0.0622727753564451
"4818";120400;1.27104149526451
"4852";121250;1.68041730543384
"4884";122050;1.84814767210045
"4918";122900;1.74580371955811
"4918.1";122900;1.74580371955811
