,metric,module,ngrip_R,ngrip_p,sealevel_R,sealevel_P
0,A/DC,LCC,0.33783072026433053,0.0286622295543201,0.22986829699039638,0.1430707306841777
1,A/DC,IG1,0.4386370085849895,0.0036637326230219637,0.4457143036495732,0.0030945497546147494
2,A/DC,IG2,0.31943600366562513,0.0392002089647768,0.3537994063339493,0.021528253015562517
3,A/DC,GLC,-0.14213362517237604,0.3692371420300411,-0.0003242148053461162,0.9983741197590895
0,A,LCC,0.4720230140416708,0.0015997750594720264,0.5461398396055327,0.0001830610767339786
1,A,IG1,0.41408370845543996,0.006407825910838344,0.5027761093904898,0.0006904485873061851
2,A,IG2,0.3068757346224562,0.04807013906874637,0.23489362647326117,0.1342933780358161
3,A,GLC,-0.43199222109118407,0.0042793832103487145,-0.2974670839050616,0.05572399000219552
0,DC,LCC,0.5501397840907988,0.00016046628870783252,0.6824721652535746,6.419926219925641e-07
1,DC,IG1,0.42429399167762893,0.00510375418739218,0.5128267683562192,0.0005155718278131788
2,DC,IG2,0.24042785968440125,0.1250976240448432,0.15667680468351064,0.3217462245574796
3,DC,GLC,-0.4537903654306191,0.0025410710527070555,-0.33450862541585535,0.030368917046578004
